wikidata_qid,wikidata_name,wikidata_url,candidate_inat_ids,candidate_inat_names,correct_inat_taxon_id,notes
Q29588749,Abietinella,http://www.wikidata.org/entity/Q29588749,155572;155573,Abietinella;Abietinella,155573,
Q50749187,Ablabesmyia,http://www.wikidata.org/entity/Q50749187,247694;549454,Ablabesmyia;Ablabesmyia,549454,
Q138641856,Abrothrix,http://www.wikidata.org/entity/Q138641856,71812;1431436,Abrothrix;Abrothrix,1431436,
Q50746010,Absidia,http://www.wikidata.org/entity/Q50746010,552980;552989,Absidia;Absidia,552989,
Q4671795,Acalyptris psammophricta,http://www.wikidata.org/entity/Q4671795,1393789;1393788,Acalyptris psammophricta;Acalyptris psammophricta,1393789,
Q4671809,Acalyptris shafirkanus,http://www.wikidata.org/entity/Q4671809,1393791;1393790,Acalyptris shafirkanus;Acalyptris shafirkanus,1393791,
Q121887868,Acanthocephala,http://www.wikidata.org/entity/Q121887868,61446;151826;1683912,Acanthocephala;Acanthocephala;Acanthocephala,151826,
Q4671891,Acanthocephala,http://www.wikidata.org/entity/Q4671891,61446;151826;1683912,Acanthocephala;Acanthocephala;Acanthocephala,61446,
Q13223600,Acanthostichus brevicornis,http://www.wikidata.org/entity/Q13223600,1453538;1453541,Acanthostichus brevicornis;Acanthostichus brevicornis,1453538,
Q13223621,Acanthostichus serratulus,http://www.wikidata.org/entity/Q13223621,1453542;1453555,Acanthostichus serratulus;Acanthostichus serratulus,1453555,
Q110755301,Acauloplacella,http://www.wikidata.org/entity/Q110755301,635057;767670,Acauloplacella;Acauloplacella,767670,
Q50750088,Acetropis,http://www.wikidata.org/entity/Q50750088,132328;1634518,Acetropis;Acetropis,1634518,
Q18617001,Achlya,http://www.wikidata.org/entity/Q18617001,416166;416167,Achlya;Achlya,416167,
Q21438872,Acmaeodera,http://www.wikidata.org/entity/Q21438872,127631;886834,Acmaeodera;Acmaeodera,127631,
Q21438878,Acmaeoderella,http://www.wikidata.org/entity/Q21438878,327587;1147313,Acmaeoderella;Acmaeoderella,1147313,
Q21769877,Acmella,http://www.wikidata.org/entity/Q21769877,121286;1349449,Acmella;Acmella,1349449,
Q106123971,Acmella pusilla,http://www.wikidata.org/entity/Q106123971,157976;1349465,Acmella pusilla;Acmella pusilla,1349465,
